name;container;sub_category;category;base_margin
Kensington 6 Outlet SmartSocket Surge Protector;Small Box;Appliances;Office Supplies;0.6
"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page";Wrap Bag;Paper;Office Supplies;0.38
Holmes Replacement Filter for HEPA Air Cleaner, Medium Room;Medium Box;Appliances;Office Supplies;0.42
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";Small Box;Binders and Binder Accessories;Office Supplies;0.36
GBC Instant Index™ System for Binding Systems;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Westinghouse Clip-On Gooseneck Lamps;Large Box;Office Furnishings;Furniture;0.59
Boston School Pro Electric Pencil Sharpener, 1670;Small Pack;Pens & Art Supplies;Office Supplies;0.58
Rubber Band Ball;Wrap Bag;Rubber Bands;Office Supplies;0.83
"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box";Small Box;Envelopes;Office Supplies;0.39
Advantus Push Pins;Wrap Bag;Rubber Bands;Office Supplies;0.44
Xerox 1917;Small Box;Paper;Office Supplies;0.38
Xerox 1992;Small Box;Paper;Office Supplies;0.36
Global Leather & Oak Executive Chair, Burgundy;Jumbo Drum;Chairs & Chairmats;Furniture;0.77
DAX Cubicle Frames, 8-1/2 x 11;Small Pack;Office Furnishings;Furniture;0.49
O'Sullivan 5-Shelf Heavy-Duty Bookcases;Jumbo Box;Bookcases;Furniture;0.6
iDEN i550;Small Box;Telephones and Communication;Technology;0.6
Newell 351;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Letter Slitter;Wrap Bag;Scissors, Rulers and Trimmers;Office Supplies;0.82
6340;Small Box;Telephones and Communication;Technology;0.58
Fellowes 17-key keypad for PS/2 interface;Small Box;Computer Peripherals;Technology;0.75
Fellowes Mobile Numeric Keypad, Graphite;Small Box;Computer Peripherals;Technology;0.66
Luxo Professional Combination Clamp-On Lamps;Large Box;Office Furnishings;Furniture;0.59
Xerox 1981;Small Box;Paper;Office Supplies;0.4
GBC DocuBind P50 Personal Binding Machine;Small Box;Binders and Binder Accessories;Office Supplies;0.38
Xerox 199;Small Box;Paper;Office Supplies;0.4
3M Polarizing Light Filter Sleeves;Small Pack;Office Furnishings;Furniture;0.39
Avery Non-Stick Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Newell 333;Wrap Bag;Pens & Art Supplies;Office Supplies;0.59
Dot Matrix Printer Tape Reel Labels, White, 5000/Box;Small Box;Labels;Office Supplies;0.36
"Howard Miller 16"" Diameter Gallery Wall Clock";Small Box;Office Furnishings;Furniture;0.46
Kensington 4 Outlet MasterPiece® Compact Power Control Center;Small Box;Appliances;Office Supplies;0.57
"Pressboard Data Binder, Crimson, 12"" X 8 1/2""";Small Box;Binders and Binder Accessories;Office Supplies;0.39
"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""";Small Box;Binders and Binder Accessories;Office Supplies;0.36
Situations Contoured Folding Chairs, 4/Set;Jumbo Drum;Chairs & Chairmats;Furniture;0.6
"Adams ""While You Were Out"" Message Pads";Wrap Bag;Paper;Office Supplies;0.4
Hon Pagoda™ Stacking Chairs;Large Box;Chairs & Chairmats;Furniture;0.55
Logitech Cordless Navigator Duo;Small Box;Computer Peripherals;Technology;0.48
Office Star Flex Back Scooter Chair with Aluminum Finish Frame;Jumbo Drum;Chairs & Chairmats;Furniture;0.61
Acco 3-Hole Punch;Small Box;Binders and Binder Accessories;Office Supplies;0.37
"Seth Thomas 14"" Putty-Colored Wall Clock";Small Box;Office Furnishings;Furniture;0.54
Logitech Internet Navigator Keyboard;Small Box;Computer Peripherals;Technology;0.79
Newell 315;Wrap Bag;Pens & Art Supplies;Office Supplies;0.6
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;Small Box;Appliances;Office Supplies;0.56
Xerox 209;Small Box;Paper;Office Supplies;0.37
Imation 3.5 IBM Diskettes, 10/Box;Small Pack;Computer Peripherals;Technology;0.79
Acco Six-Outlet Power Strip, 4' Cord Length;Small Box;Appliances;Office Supplies;0.59
Sauder Camden County Barrister Bookcase, Planked Cherry Finish;Jumbo Box;Bookcases;Furniture;0.71
Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;Wrap Bag;Paper;Office Supplies;0.36
Multicolor Computer Printout Paper;Small Box;Paper;Office Supplies;0.37
Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum;Small Box;Computer Peripherals;Technology;0.74
SAFCO Commercial Wire Shelving, Black;Large Box;Storage & Organization;Office Supplies;NULL
Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper;Wrap Bag;Paper;Office Supplies;0.38
"Avery® 3 1/2"" Diskette Storage Pages, 10/Pack";Small Box;Binders and Binder Accessories;Office Supplies;0.39
"Fiskars 8"" Scissors, 2/Pack";Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.56
3.6 Cubic Foot Counter Height Office Refrigerator;Jumbo Drum;Appliances;Office Supplies;0.57
TI 30X Scientific Calculator;Medium Box;Office Machines;Technology;0.36
DS/HD IBM Formatted Diskettes, 10/Pack - Staples;Small Pack;Computer Peripherals;Technology;0.64
Home/Office Personal File Carts;Small Box;Storage & Organization;Office Supplies;0.6
Acme® Office Executive Series Stainless Steel Trimmers;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.59
Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock;Small Box;Office Furnishings;Furniture;0.43
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection;Small Box;Appliances;Office Supplies;0.59
Balt Solid Wood Rectangular Table;Jumbo Box;Tables;Furniture;0.75
Lifetime Advantage™ Folding Chairs, 4/Carton;Large Box;Chairs & Chairmats;Furniture;0.57
"Bevis Round Bullnose 29"" High Table Top";Jumbo Box;Tables;Furniture;0.65
Martin-Yale Premier Letter Opener;Wrap Bag;Scissors, Rulers and Trimmers;Office Supplies;0.82
iDENi80s;Small Box;Telephones and Communication;Technology;0.59
Canon F603 Scientific Calculator;Medium Box;Office Machines;Technology;0.36
ELITE Series;Small Box;Telephones and Communication;Technology;0.58
Epson Stylus 1520 Color Inkjet Printer;Jumbo Drum;Office Machines;Technology;0.37
Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room;Large Box;Appliances;Office Supplies;0.54
Global Leather Executive Chair;Jumbo Drum;Chairs & Chairmats;Furniture;0.55
Staples Paper Clips;Wrap Bag;Rubber Bands;Office Supplies;0.38
Computer Printout Index Tabs;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Staples 4 Outlet Surge Protector;Small Box;Appliances;Office Supplies;0.58
DAX Value U-Channel Document Frames, Easel Back;Medium Box;Office Furnishings;Furniture;0.54
OIC Bulk Pack Metal Binder Clips;Wrap Bag;Rubber Bands;Office Supplies;0.39
Xerox 1982;Small Box;Paper;Office Supplies;0.39
Okidata ML395C Color Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.59
Xerox 1953;Small Box;Paper;Office Supplies;0.4
MicroTAC 650;Small Box;Telephones and Communication;Technology;0.58
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";Small Box;Binders and Binder Accessories;Office Supplies;0.4
Hewlett Packard 6S Scientific Calculator;Medium Box;Office Machines;Technology;0.39
Canon Imageclass D680 Copier / Fax;Large Box;Copiers and Fax;Technology;0.54
Bionaire Personal Warm Mist Humidifier/Vaporizer;Medium Box;Appliances;Office Supplies;0.46
KH 688;Small Box;Telephones and Communication;Technology;0.57
Xerox 1989;Small Box;Paper;Office Supplies;0.38
T60;Small Box;Telephones and Communication;Technology;0.56
Accessory20;Small Pack;Telephones and Communication;Technology;0.37
Regeneration Desk Collection;Small Box;Office Furnishings;Furniture;0.41
Xerox 214;Small Box;Paper;Office Supplies;0.37
"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H";Small Box;Storage & Organization;Office Supplies;0.68
Newell 308;Wrap Bag;Pens & Art Supplies;Office Supplies;0.6
Xerox 1988;Small Box;Paper;Office Supplies;0.4
Fellowes Neat Ideas® Storage Cubes;Large Box;Storage & Organization;Office Supplies;0.81
282;Small Box;Telephones and Communication;Technology;0.56
Advantus Employee of the Month Certificate Frame, 11 x 13-1/2;Small Pack;Office Furnishings;Furniture;0.44
Accessory28;Small Pack;Telephones and Communication;Technology;0.83
Xerox 1948;Small Box;Paper;Office Supplies;0.4
Newell 342;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Accessory27;Small Box;Telephones and Communication;Technology;0.85
Fellowes Command Center 5-outlet power strip;Small Box;Appliances;Office Supplies;0.58
Newell 327;Wrap Bag;Pens & Art Supplies;Office Supplies;0.58
Super Bands, 12/Pack;Wrap Bag;Rubber Bands;Office Supplies;0.82
Xerox 1926;Small Box;Paper;Office Supplies;0.38
Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate;Wrap Bag;Paper;Office Supplies;0.38
Canon PC1080F Personal Copier;Large Box;Copiers and Fax;Technology;0.5
"Elite 5"" Scissors";Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.55
Accessory15;Small Pack;Telephones and Communication;Technology;0.83
Brites Rubber Bands, 1 1/2 oz. Box;Wrap Bag;Rubber Bands;Office Supplies;0.83
"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack";Wrap Bag;Pens & Art Supplies;Office Supplies;0.4
Avery Arch Ring Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.38
CF 688;Small Box;Telephones and Communication;Technology;0.58
Recycled Interoffice Envelopes with Re-Use-A-Seal® Closure, 10 x 13;Small Box;Envelopes;Office Supplies;0.38
Bevis Round Conference Table Top & Single Column Base;Jumbo Box;Tables;Furniture;0.64
Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case;Medium Box;Office Machines;Technology;0.39
Polycom VoiceStation 100;Medium Box;Office Machines;Technology;0.39
Hayes Optima 56K V.90 Internal Voice Modem;Small Box;Computer Peripherals;Technology;0.51
File Shuttle II and Handi-File, Black;Small Box;Storage & Organization;Office Supplies;0.6
Xerox 1933;Small Box;Paper;Office Supplies;0.38
Alliance Rubber Bands;Wrap Bag;Rubber Bands;Office Supplies;0.81
Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll;Small Box;Labels;Office Supplies;0.39
Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.55
StarTAC 3000;Small Box;Telephones and Communication;Technology;0.59
Wilson Jones Easy Flow II™ Sheet Lifters;Small Box;Binders and Binder Accessories;Office Supplies;0.37
TDK 4.7GB DVD+RW;Small Pack;Computer Peripherals;Technology;0.49
AT&T 1430 2.4GHz Analog Phone w/Caller ID;Small Box;Office Machines;Technology;0.54
Eldon® Image Series Desk Accessories, Burgundy;Small Box;Office Furnishings;Furniture;0.49
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf";Jumbo Drum;Tables;Furniture;0.59
Polycom ViaVideo™ Desktop Video Communications Unit;Large Box;Office Machines;Technology;0.37
Xerox 1924;Small Box;Paper;Office Supplies;0.36
"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box";Small Pack;Computer Peripherals;Technology;0.69
"IBM 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";Small Pack;Computer Peripherals;Technology;0.69
Imation IBM Formatted Diskettes, 100/Pack;Small Pack;Computer Peripherals;Technology;0.7
Epson FX-980 Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.59
Xerox 1949;Small Box;Paper;Office Supplies;0.36
"Staples 10"" Round Wall Clock";Small Box;Office Furnishings;Furniture;0.41
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";Medium Box;Office Furnishings;Furniture;0.65
US Robotics 56K V.92 Internal PCI Faxmodem;Small Box;Computer Peripherals;Technology;0.45
Xerox 226;Small Box;Paper;Office Supplies;0.37
Xerox 190;Small Box;Paper;Office Supplies;0.38
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Small Box;Envelopes;Office Supplies;0.4
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";Small Box;Binders and Binder Accessories;Office Supplies;0.4
Dixon Ticonderoga Core-Lock Colored Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.52
"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black";Small Box;Binders and Binder Accessories;Office Supplies;0.36
O'Sullivan Manor Hill 2-Door Library in Brianna Oak;Jumbo Box;Bookcases;Furniture;0.74
Advantus SlideClip™ Paper Clips;Wrap Bag;Rubber Bands;Office Supplies;0.37
Okidata ML390 Turbo Dot Matrix Printers;Jumbo Drum;Office Machines;Technology;0.56
Xerox 1968;Small Box;Paper;Office Supplies;0.37
Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak;Small Box;Office Furnishings;Furniture;0.55
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock";Small Pack;Office Furnishings;Furniture;0.47
Laser & Ink Jet Business Envelopes;Small Box;Envelopes;Office Supplies;0.39
"Executive Impressions 14"" Contract Wall Clock";Small Pack;Office Furnishings;Furniture;0.52
Sanford Liquid Accent Highlighters;Wrap Bag;Pens & Art Supplies;Office Supplies;0.48
"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""";Wrap Bag;Paper;Office Supplies;0.38
Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad;Wrap Bag;Paper;Office Supplies;0.36
Global Airflow Leather Mesh Back Chair, Black;Jumbo Drum;Chairs & Chairmats;Furniture;0.55
DAX Natural Wood-Tone Poster Frame;Small Box;Office Furnishings;Furniture;0.49
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat;Jumbo Drum;Chairs & Chairmats;Furniture;0.61
Sauder Camden County Collection Libraries, Planked Cherry Finish;Jumbo Box;Bookcases;Furniture;0.76
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";Large Box;Storage & Organization;Office Supplies;0.84
Ampad #10 Peel & Seel® Holiday Envelopes;Small Box;Envelopes;Office Supplies;0.37
R380;Small Box;Telephones and Communication;Technology;0.58
Iceberg Mobile Mega Data/Printer Cart ®;Small Box;Storage & Organization;Office Supplies;0.59
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";Wrap Bag;Paper;Office Supplies;0.38
"Iceberg OfficeWorks 42"" Round Tables";Jumbo Box;Tables;Furniture;0.7
"""While you Were Out"" Message Book, One Form per Page";Wrap Bag;Paper;Office Supplies;0.35
R289LX;Small Box;Telephones and Communication;Technology;0.57
Avery 516;Small Box;Labels;Office Supplies;0.38
Newell 318;Wrap Bag;Pens & Art Supplies;Office Supplies;0.59
Companion Letter/Legal File, Black;Small Box;Storage & Organization;Office Supplies;0.57
Avery Reinforcements for Hole-Punch Pages;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Smead Adjustable Mobile File Trolley with Lockable Top;Small Box;Storage & Organization;Office Supplies;0.58
Hon Valutask™ Swivel Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.69
Bevis Round Conference Table Top, X-Base;Jumbo Box;Tables;Furniture;0.76
Premier Elliptical Ring Binder, Black;Small Box;Binders and Binder Accessories;Office Supplies;0.37
